permanent_identifier,gnis_id,gnis_name,areasqkm,longitude,latitude
111560231,00260756,Granite Lake,0.023000000000000,-122.820710399999996,41.178169930000003
66492501,00253511,Hoggem Lake,0.011638750000000,-119.529998039999995,37.493125220000003
66759787,00257077,Birch Lake,0.013000000000000,-119.855815669999998,37.879624990000003
145152654,01150280,Acorn Woman Lakes,0.222000000000000,-123.020326089999998,42.040475499999999
27598329,00246701,Lake O'Neill,0.391275730000000,-117.322762639999993,33.329561599999998
84813372,00221198,Clear Lake,0.127000000000000,-120.277148800000006,41.275045599999999
132735662,01667306,Harbor Lake,0.138133280000000,-118.293576810000005,33.783742789999998
77316302,00233743,Lake Crowley,17.694312080000000,-118.741670929999998,37.610771180000000
60570812,00226634,Kirkwood Lake,0.038194150000000,-119.508892059999994,38.155773910000001
60576644,00262205,Kirman Lake,0.152633010000000,-119.499133520000001,38.340002949999999
27573835,00242698,Gibraltar Reservoir,0.839610430000000,-119.674412059999995,34.527229210000002
136712683,00846473,Boulder Lake,0.187000000000000,-119.844912160000007,41.395736290000002
126876111,00863494,Lake Number One,0.238000000000000,-116.315596670000005,36.484171300000000
153299394,00240901,Copper Basin Reservoir,1.642044600000000,-114.229973409999999,34.286765240000001
77317548,00263556,Midnight Lake,0.072000000000000,-118.647310460000000,37.166082830000001
77317972,00232772,Second Lake,0.119000000000000,-118.487595069999998,37.123754400000003
60570266,00264943,Poore Lake,0.293080440000000,-119.526761820000004,38.308560499999999
77252923,00266417,Bass Lake,4.054848010000000,-119.564882269999998,37.317679710000000
77316530,00265501,Rock Creek Lake,0.230091890000000,-118.737199669999995,37.452491899999998
44605688,00267558,Lake Spaulding,2.807610740000000,-120.629783590000002,39.335898579999999
27747273,01869828,Palo Verde Lake,0.148548570000000,-116.724631329999994,32.812066680000001
77917975,01654148,Upper Lake,57.257631379999999,-120.151781080000006,41.751354710000001
77317616,00261633,Hungry Packer Lake,0.178000000000000,-118.644363310000003,37.158797960000001
77317356,00260166,Fishgut Lakes,0.038000000000000,-118.642312320000002,37.192449930000002
